trial,strategy,campaign_seed,budget,executions,found,first_finding_execution,censored,coverage_count,corpus_count,raw_synthetic_failures,exact_signatures
1,NOVELTY_GUIDED_DETERMINISTIC_V1,20260831,256,256,true,47,false,70,149,110,1
1,UNIFORM_RANDOM_VALID_MUTATION_V1,20260831,256,256,true,54,false,46,256,3,1
2,NOVELTY_GUIDED_DETERMINISTIC_V1,20260832,256,256,true,72,false,60,128,100,1
2,UNIFORM_RANDOM_VALID_MUTATION_V1,20260832,256,256,false,,true,38,256,0,0
3,NOVELTY_GUIDED_DETERMINISTIC_V1,20260833,256,256,true,71,false,60,129,99,1
3,UNIFORM_RANDOM_VALID_MUTATION_V1,20260833,256,256,true,100,false,55,256,3,1
4,NOVELTY_GUIDED_DETERMINISTIC_V1,20260834,256,256,true,47,false,64,146,112,1
4,UNIFORM_RANDOM_VALID_MUTATION_V1,20260834,256,256,false,,true,55,256,0,0
5,NOVELTY_GUIDED_DETERMINISTIC_V1,20260835,256,256,true,69,false,60,135,107,1
5,UNIFORM_RANDOM_VALID_MUTATION_V1,20260835,256,256,true,40,false,39,256,2,1
6,NOVELTY_GUIDED_DETERMINISTIC_V1,20260836,256,256,true,69,false,60,132,104,1
6,UNIFORM_RANDOM_VALID_MUTATION_V1,20260836,256,256,false,,true,58,256,0,0
7,NOVELTY_GUIDED_DETERMINISTIC_V1,20260837,256,256,true,62,false,70,147,108,1
7,UNIFORM_RANDOM_VALID_MUTATION_V1,20260837,256,256,false,,true,36,256,0,0
8,NOVELTY_GUIDED_DETERMINISTIC_V1,20260838,256,256,true,69,false,60,134,106,1
8,UNIFORM_RANDOM_VALID_MUTATION_V1,20260838,256,256,false,,true,34,256,0,0
9,NOVELTY_GUIDED_DETERMINISTIC_V1,20260839,256,256,true,71,false,60,131,103,1
9,UNIFORM_RANDOM_VALID_MUTATION_V1,20260839,256,256,true,26,false,38,256,1,1
10,NOVELTY_GUIDED_DETERMINISTIC_V1,20260840,256,256,true,71,false,60,134,105,1
10,UNIFORM_RANDOM_VALID_MUTATION_V1,20260840,256,256,false,,true,37,256,0,0
11,NOVELTY_GUIDED_DETERMINISTIC_V1,20260841,256,256,true,72,false,60,136,108,1
11,UNIFORM_RANDOM_VALID_MUTATION_V1,20260841,256,256,false,,true,51,256,0,0
12,NOVELTY_GUIDED_DETERMINISTIC_V1,20260842,256,256,true,72,false,60,133,105,1
12,UNIFORM_RANDOM_VALID_MUTATION_V1,20260842,256,256,false,,true,53,256,0,0
13,NOVELTY_GUIDED_DETERMINISTIC_V1,20260843,256,256,true,71,false,60,137,108,1
13,UNIFORM_RANDOM_VALID_MUTATION_V1,20260843,256,256,false,,true,29,256,0,0
14,NOVELTY_GUIDED_DETERMINISTIC_V1,20260844,256,256,true,64,false,60,136,108,1
14,UNIFORM_RANDOM_VALID_MUTATION_V1,20260844,256,256,false,,true,41,256,0,0
15,NOVELTY_GUIDED_DETERMINISTIC_V1,20260845,256,256,true,71,false,60,135,105,1
15,UNIFORM_RANDOM_VALID_MUTATION_V1,20260845,256,256,false,,true,46,256,0,0
16,NOVELTY_GUIDED_DETERMINISTIC_V1,20260846,256,256,true,47,false,60,126,98,1
16,UNIFORM_RANDOM_VALID_MUTATION_V1,20260846,256,256,false,,true,56,256,0,0
17,NOVELTY_GUIDED_DETERMINISTIC_V1,20260847,256,256,true,71,false,60,128,99,1
17,UNIFORM_RANDOM_VALID_MUTATION_V1,20260847,256,256,false,,true,40,256,0,0
18,NOVELTY_GUIDED_DETERMINISTIC_V1,20260848,256,256,true,71,false,60,135,105,1
18,UNIFORM_RANDOM_VALID_MUTATION_V1,20260848,256,256,false,,true,35,256,0,0
19,NOVELTY_GUIDED_DETERMINISTIC_V1,20260849,256,256,true,47,false,68,147,111,1
19,UNIFORM_RANDOM_VALID_MUTATION_V1,20260849,256,256,true,14,false,51,256,1,1
20,NOVELTY_GUIDED_DETERMINISTIC_V1,20260850,256,256,true,52,false,60,134,106,1
20,UNIFORM_RANDOM_VALID_MUTATION_V1,20260850,256,256,false,,true,58,256,0,0
