strategy,execution,at_risk,discoveries,censored,survival_probability,cumulative_discovery_probability
KEEP_ALL_ENERGY_RANKED_V2,0,20,0,0,1,0
KEEP_ALL_ENERGY_RANKED_V2,8,20,1,0,0.95,0.050000000000000044
KEEP_ALL_ENERGY_RANKED_V2,17,19,1,0,0.9,0.09999999999999998
KEEP_ALL_ENERGY_RANKED_V2,38,18,1,0,0.85,0.15000000000000002
KEEP_ALL_ENERGY_RANKED_V2,67,17,1,0,0.7999999999999999,0.20000000000000007
KEEP_ALL_ENERGY_RANKED_V2,71,16,1,0,0.7499999999999999,0.2500000000000001
KEEP_ALL_ENERGY_RANKED_V2,78,15,1,0,0.7,0.30000000000000004
KEEP_ALL_ENERGY_RANKED_V2,94,14,1,0,0.65,0.35
KEEP_ALL_ENERGY_RANKED_V2,104,13,1,0,0.6000000000000001,0.3999999999999999
KEEP_ALL_ENERGY_RANKED_V2,111,12,1,0,0.55,0.44999999999999996
KEEP_ALL_ENERGY_RANKED_V2,119,11,1,0,0.5,0.5
KEEP_ALL_ENERGY_RANKED_V2,130,10,1,0,0.45,0.55
KEEP_ALL_ENERGY_RANKED_V2,158,9,1,0,0.39999999999999997,0.6000000000000001
KEEP_ALL_ENERGY_RANKED_V2,165,8,1,0,0.35,0.65
KEEP_ALL_ENERGY_RANKED_V2,214,7,1,0,0.3,0.7
KEEP_ALL_ENERGY_RANKED_V2,256,6,0,6,0.3,0.7
KEEP_ALL_UNIFORM_V2,0,20,0,0,1,0
KEEP_ALL_UNIFORM_V2,13,20,1,0,0.95,0.050000000000000044
KEEP_ALL_UNIFORM_V2,15,19,1,0,0.9,0.09999999999999998
KEEP_ALL_UNIFORM_V2,19,18,1,0,0.85,0.15000000000000002
KEEP_ALL_UNIFORM_V2,41,17,1,0,0.7999999999999999,0.20000000000000007
KEEP_ALL_UNIFORM_V2,149,16,1,0,0.7499999999999999,0.2500000000000001
KEEP_ALL_UNIFORM_V2,176,15,1,0,0.7,0.30000000000000004
KEEP_ALL_UNIFORM_V2,256,14,1,13,0.65,0.35
NOVELTY_ONLY_ENERGY_RANKED_V2,0,20,0,0,1,0
NOVELTY_ONLY_ENERGY_RANKED_V2,8,20,1,0,0.95,0.050000000000000044
NOVELTY_ONLY_ENERGY_RANKED_V2,17,19,1,0,0.9,0.09999999999999998
NOVELTY_ONLY_ENERGY_RANKED_V2,30,18,1,0,0.85,0.15000000000000002
NOVELTY_ONLY_ENERGY_RANKED_V2,38,17,1,0,0.7999999999999999,0.20000000000000007
NOVELTY_ONLY_ENERGY_RANKED_V2,53,16,1,0,0.7499999999999999,0.2500000000000001
NOVELTY_ONLY_ENERGY_RANKED_V2,67,15,1,0,0.7,0.30000000000000004
NOVELTY_ONLY_ENERGY_RANKED_V2,71,14,1,0,0.65,0.35
NOVELTY_ONLY_ENERGY_RANKED_V2,78,13,1,0,0.6000000000000001,0.3999999999999999
NOVELTY_ONLY_ENERGY_RANKED_V2,81,12,1,0,0.55,0.44999999999999996
NOVELTY_ONLY_ENERGY_RANKED_V2,85,11,1,0,0.5,0.5
NOVELTY_ONLY_ENERGY_RANKED_V2,96,10,1,0,0.45,0.55
NOVELTY_ONLY_ENERGY_RANKED_V2,104,9,1,0,0.39999999999999997,0.6000000000000001
NOVELTY_ONLY_ENERGY_RANKED_V2,119,8,1,0,0.35,0.65
NOVELTY_ONLY_ENERGY_RANKED_V2,122,7,1,0,0.3,0.7
NOVELTY_ONLY_ENERGY_RANKED_V2,128,6,1,0,0.25,0.75
NOVELTY_ONLY_ENERGY_RANKED_V2,130,5,1,0,0.2,0.8
NOVELTY_ONLY_ENERGY_RANKED_V2,211,4,1,0,0.15000000000000002,0.85
NOVELTY_ONLY_ENERGY_RANKED_V2,246,3,1,0,0.10000000000000002,0.9
NOVELTY_ONLY_ENERGY_RANKED_V2,256,2,0,2,0.10000000000000002,0.9
NOVELTY_ONLY_UNIFORM_V2,0,20,0,0,1,0
NOVELTY_ONLY_UNIFORM_V2,40,20,1,0,0.95,0.050000000000000044
NOVELTY_ONLY_UNIFORM_V2,45,19,1,0,0.9,0.09999999999999998
NOVELTY_ONLY_UNIFORM_V2,64,18,1,0,0.85,0.15000000000000002
NOVELTY_ONLY_UNIFORM_V2,118,17,1,0,0.7999999999999999,0.20000000000000007
NOVELTY_ONLY_UNIFORM_V2,119,16,1,0,0.7499999999999999,0.2500000000000001
NOVELTY_ONLY_UNIFORM_V2,127,15,1,0,0.7,0.30000000000000004
NOVELTY_ONLY_UNIFORM_V2,134,14,1,0,0.65,0.35
NOVELTY_ONLY_UNIFORM_V2,157,13,1,0,0.6000000000000001,0.3999999999999999
NOVELTY_ONLY_UNIFORM_V2,166,12,1,0,0.55,0.44999999999999996
NOVELTY_ONLY_UNIFORM_V2,183,11,1,0,0.5,0.5
NOVELTY_ONLY_UNIFORM_V2,217,10,1,0,0.45,0.55
NOVELTY_ONLY_UNIFORM_V2,248,9,1,0,0.39999999999999997,0.6000000000000001
NOVELTY_ONLY_UNIFORM_V2,256,8,0,8,0.39999999999999997,0.6000000000000001
