trial,mode,maximum_sequence_length,campaign_seed,budget,executions,found,first_finding_execution,censored,coverage_count,corpus_count,raw_synthetic_failures,exact_signatures
1,SINGLE_CALL,1,20260831,512,26,false,,true,8,5,0,0
1,STATEFUL,6,20260831,512,512,true,131,false,117,320,252,1
2,SINGLE_CALL,1,20260832,512,26,false,,true,8,5,0,0
2,STATEFUL,6,20260832,512,512,true,73,false,102,318,253,1
3,SINGLE_CALL,1,20260833,512,26,false,,true,8,5,0,0
3,STATEFUL,6,20260833,512,512,false,,true,173,125,0,0
4,SINGLE_CALL,1,20260834,512,26,false,,true,8,5,0,0
4,STATEFUL,6,20260834,512,512,false,,true,209,155,0,0
5,SINGLE_CALL,1,20260835,512,26,false,,true,8,5,0,0
5,STATEFUL,6,20260835,512,512,true,299,false,185,241,122,1
6,SINGLE_CALL,1,20260836,512,26,false,,true,8,5,0,0
6,STATEFUL,6,20260836,512,512,false,,true,169,124,0,0
7,SINGLE_CALL,1,20260837,512,26,false,,true,8,5,0,0
7,STATEFUL,6,20260837,512,512,false,,true,241,160,0,0
8,SINGLE_CALL,1,20260838,512,26,false,,true,8,5,0,0
8,STATEFUL,6,20260838,512,512,true,77,false,93,360,304,1
9,SINGLE_CALL,1,20260839,512,26,false,,true,8,5,0,0
9,STATEFUL,6,20260839,512,512,true,270,false,151,280,165,1
10,SINGLE_CALL,1,20260840,512,26,false,,true,8,5,0,0
10,STATEFUL,6,20260840,512,512,false,,true,219,170,0,0
11,SINGLE_CALL,1,20260841,512,26,false,,true,8,5,0,0
11,STATEFUL,6,20260841,512,512,true,192,false,86,246,194,1
12,SINGLE_CALL,1,20260842,512,26,false,,true,8,5,0,0
12,STATEFUL,6,20260842,512,512,true,123,false,95,330,265,1
13,SINGLE_CALL,1,20260843,512,26,false,,true,8,5,0,0
13,STATEFUL,6,20260843,512,512,false,,true,196,149,0,0
14,SINGLE_CALL,1,20260844,512,26,false,,true,8,5,0,0
14,STATEFUL,6,20260844,512,512,true,230,false,193,269,154,1
15,SINGLE_CALL,1,20260845,512,26,false,,true,8,5,0,0
15,STATEFUL,6,20260845,512,512,false,,true,189,143,0,0
16,SINGLE_CALL,1,20260846,512,26,false,,true,8,5,0,0
16,STATEFUL,6,20260846,512,512,false,,true,196,162,0,0
17,SINGLE_CALL,1,20260847,512,26,false,,true,8,5,0,0
17,STATEFUL,6,20260847,512,512,true,61,false,88,351,299,1
18,SINGLE_CALL,1,20260848,512,26,false,,true,8,5,0,0
18,STATEFUL,6,20260848,512,512,false,,true,139,96,0,0
19,SINGLE_CALL,1,20260849,512,26,false,,true,8,5,0,0
19,STATEFUL,6,20260849,512,512,true,203,false,137,294,212,1
20,SINGLE_CALL,1,20260850,512,26,false,,true,8,5,0,0
20,STATEFUL,6,20260850,512,512,true,181,false,115,299,222,1
