execution,case_id,parent_case_id,operator_id,novel_coverage,added_to_corpus,result_class,signature
1,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,,seed,6,true,COMPLETE,
2,3f7102330ab8e25493449a38fe2fe00e02f39fed13103e3ea769c138fd3d25f5,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,sequence.swap-adjacent.v1,3,true,COMPLETE,
3,7502271a7e34143bd7e82cb5bbe17638559f9be0f2941946fdb0d298cb5c7440,3f7102330ab8e25493449a38fe2fe00e02f39fed13103e3ea769c138fd3d25f5,sequence.swap-adjacent.v1,1,true,COMPLETE,
4,c7ef81b298e5f83bf5a66db091375c45b4a13436b5c0281bb87ecabb31d3e0fd,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,buffer.block.v1,0,false,COMPLETE,
5,f0e3f878325caebf0ca9d85e3a2e5f2fb48f47577df64a2eb7518ee63cb38fea,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,sequence.swap-adjacent.v1,0,false,COMPLETE,
6,3c082b9ec51d0ed76a5140f0c78e26c86fc066a6af32fd91b05b59ac2078ab9b,3f7102330ab8e25493449a38fe2fe00e02f39fed13103e3ea769c138fd3d25f5,sequence.insert.v1,1,true,COMPLETE,
7,b6f1d3174c1eb3711f25b1599633424498422a35f3ce87c8d109616533d37790,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,buffer.block.v1,0,false,COMPLETE,
8,56aaaed9b8323f64fefdb0bfbf46e4eaa789c23a0f6e3f8f32954790efa13ed2,3c082b9ec51d0ed76a5140f0c78e26c86fc066a6af32fd91b05b59ac2078ab9b,scalar.boundary.v1,0,false,COMPLETE,
9,df69214f81f8ebb749794527de29ba664c061e398e5a4030303cb844c03b95e7,7502271a7e34143bd7e82cb5bbe17638559f9be0f2941946fdb0d298cb5c7440,scalar.boundary.v1,0,false,COMPLETE,
10,090637d0f9477576c09a4672b85b67b8ca412640c1790ec26f7b27209e0cfbeb,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,sequence.insert.v1,1,true,COMPLETE,
11,9f14900f40cc291e89ccc3dc0df20ba5bb36bfad381d2ae8209bcde5a812a34d,090637d0f9477576c09a4672b85b67b8ca412640c1790ec26f7b27209e0cfbeb,sequence.insert.v1,1,true,COMPLETE,
12,cb1afb5fe9ebf28b2395948b66ed67ec4363bb5263806cd6ea5fd95069c93af2,9f14900f40cc291e89ccc3dc0df20ba5bb36bfad381d2ae8209bcde5a812a34d,sequence.insert.v1,0,false,COMPLETE,
13,3d635c2c9fe1b09ccf1f109ef6bcd1d3e39a556f4dba657d6b57638f88d3164e,3f7102330ab8e25493449a38fe2fe00e02f39fed13103e3ea769c138fd3d25f5,sequence.insert.v1,0,false,COMPLETE,
14,f40423dbb3d415a36a5cdbbc4c1ca94daa793820dcb303084cd7bd57560eaa5c,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,sequence.delete.v1,1,true,COMPLETE,
15,082f2db78d1578fdc0da98be0dcc2bdc70ba0d3650d663ec85c641a77950f412,f40423dbb3d415a36a5cdbbc4c1ca94daa793820dcb303084cd7bd57560eaa5c,sequence.swap-adjacent.v1,0,false,COMPLETE,
16,4494837fc8ccd2d06291720ab5dcc711dad7e520bb2bb7fcd0af80976f40a192,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,buffer.block.v1,0,false,COMPLETE,
17,195e1a89755a2b91e0f0cce7dcfed215a0449890e0743d39ab4dcdb013fef17f,3c082b9ec51d0ed76a5140f0c78e26c86fc066a6af32fd91b05b59ac2078ab9b,sequence.swap-adjacent.v1,1,true,COMPLETE,
18,b3ba11db0fe0450b7ede53b6b53694157e1c3457c684d0c1f1aadb950cb80fb8,195e1a89755a2b91e0f0cce7dcfed215a0449890e0743d39ab4dcdb013fef17f,sequence.swap-adjacent.v1,0,false,COMPLETE,
19,0f121decbd38fc879d69fb3c3555c749837f255e862652071e2668d48d35cc6f,7502271a7e34143bd7e82cb5bbe17638559f9be0f2941946fdb0d298cb5c7440,buffer.block.v1,0,false,COMPLETE,
20,b4f2b6093a0eb6d23cf77beec44be2511ca85cb2ace8b4e3eca50f3b5efbea84,090637d0f9477576c09a4672b85b67b8ca412640c1790ec26f7b27209e0cfbeb,scalar.boundary.v1,0,false,COMPLETE,
21,75e81a7704b7b3081de69b62865a01bff792f6dd4a9f7ce8f6e95234fda78f0f,9f14900f40cc291e89ccc3dc0df20ba5bb36bfad381d2ae8209bcde5a812a34d,scalar.boundary.v1,2,true,COMPLETE,
22,8ecbb6bae2c6461e1db625cc388bcba1714f2cc25381c3b6fc79bb6700bf6bd9,75e81a7704b7b3081de69b62865a01bff792f6dd4a9f7ce8f6e95234fda78f0f,sequence.swap-adjacent.v1,1,true,COMPLETE,
23,f33e0e84eac5a9cc75868a1ba74f104922b6e81315d03a7ad3b5af2955723253,8ecbb6bae2c6461e1db625cc388bcba1714f2cc25381c3b6fc79bb6700bf6bd9,buffer.block.v1,0,false,COMPLETE,
24,d3c131ea8ebf2861caf01abd33e8967b7afe166db936fe5ee57f8ebcd23494c7,75e81a7704b7b3081de69b62865a01bff792f6dd4a9f7ce8f6e95234fda78f0f,sequence.swap-adjacent.v1,1,true,COMPLETE,
25,b5d099a305cb9d3ad9a8712e16d397e939288dcea4e7ca2ea9f7dbdb44c00747,d3c131ea8ebf2861caf01abd33e8967b7afe166db936fe5ee57f8ebcd23494c7,buffer.block.v1,0,false,COMPLETE,
26,f3ab69db8018678112925409ab6a1750ce9dcde8af3daf8bbc17a37e41238f6e,75e81a7704b7b3081de69b62865a01bff792f6dd4a9f7ce8f6e95234fda78f0f,sequence.insert.v1,0,false,COMPLETE,
27,34f1df799f535f1c7a633e817669b3920a30335c79e255e35655e1389f0476e8,f40423dbb3d415a36a5cdbbc4c1ca94daa793820dcb303084cd7bd57560eaa5c,sequence.delete.v1,0,false,COMPLETE,
28,cf174f48f0982ebb8e588f98863cb9e469b2e2f8e4763fa9b8f75ed1fe63433f,195e1a89755a2b91e0f0cce7dcfed215a0449890e0743d39ab4dcdb013fef17f,sequence.swap-adjacent.v1,0,false,COMPLETE,
29,734db7329896fdf3c1ee4ec29b413dc590bf159bc464efb202ecd7bb9872cd61,8ecbb6bae2c6461e1db625cc388bcba1714f2cc25381c3b6fc79bb6700bf6bd9,sequence.insert.v1,0,false,COMPLETE,
30,9dc93e7414b9ef377bac0e10522e40c9717e4372d93be43ad5a2939be5f7668a,d3c131ea8ebf2861caf01abd33e8967b7afe166db936fe5ee57f8ebcd23494c7,sequence.insert.v1,0,false,COMPLETE,
31,6727ffe56f68f83728cf2dd777a6888c6d33dad006d41c386d2e4367f7831f74,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,sequence.delete.v1,0,false,COMPLETE,
32,b9fd550b3391c97af7a114fc47913cefaa03fbf483417622681356c97a6a79c9,3f7102330ab8e25493449a38fe2fe00e02f39fed13103e3ea769c138fd3d25f5,buffer.block.v1,0,false,COMPLETE,
33,a029a7fd188d5c86309d245442a28452f74db216bdcef51cb2a9becc5abf6ec9,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,scalar.boundary.v1,0,false,COMPLETE,
34,451dd855de4a93da585525980d47f49c1fbbf0100d272415c5f6683918ba7af9,75e81a7704b7b3081de69b62865a01bff792f6dd4a9f7ce8f6e95234fda78f0f,sequence.insert.v1,0,false,COMPLETE,
35,64d52cad42a2686a24d034e0eb85dc11628c115cb13866f9aae3863829baa4f1,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,scalar.boundary.v1,3,true,COMPLETE,
36,b9bc20cc7fb458e1362a5a305bb66e44fa9350027d8f951f6e7749dec4be989f,64d52cad42a2686a24d034e0eb85dc11628c115cb13866f9aae3863829baa4f1,sequence.delete.v1,0,false,COMPLETE,
37,47a949225ef4c148ac8827985107345ff1473582f1558e77bad623839a7cac87,64d52cad42a2686a24d034e0eb85dc11628c115cb13866f9aae3863829baa4f1,sequence.insert.v1,0,false,COMPLETE,
38,c6e916c2692e83b2b26a6b2e1439c999db12a6c2e0e47c92f9908ac6ad7509c9,64d52cad42a2686a24d034e0eb85dc11628c115cb13866f9aae3863829baa4f1,buffer.block.v1,0,false,COMPLETE,
39,4b377ee1e2dfaaa46feeb017090c413160bcc178974388982936d1adfa1ea9c9,64d52cad42a2686a24d034e0eb85dc11628c115cb13866f9aae3863829baa4f1,sequence.swap-adjacent.v1,0,false,COMPLETE,
40,47c4b2ec7afe99b6ec683f63a3748f377e44f3e9b0e8416c5b886725f919db04,64d52cad42a2686a24d034e0eb85dc11628c115cb13866f9aae3863829baa4f1,sequence.delete.v1,0,false,COMPLETE,
41,435e7537b414b69b0bfd81c86544f77d5e21569cd14ccb32c5424447a21bad54,64d52cad42a2686a24d034e0eb85dc11628c115cb13866f9aae3863829baa4f1,buffer.block.v1,0,false,COMPLETE,
42,c60a850f49feb74cd31f00cbea10a6b31d0c74e2eb295d2f2389bff948c73f19,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,sequence.insert.v1,1,true,COMPLETE,
43,d184d67e4025806f29b19baddd92b7b7f9ec6dbc9d586ed9811f259f3a586cca,c60a850f49feb74cd31f00cbea10a6b31d0c74e2eb295d2f2389bff948c73f19,sequence.insert.v1,0,false,COMPLETE,
44,2e35bd666da162c26d2c73d665f8900d91ef62089949d990ddf5823790cc7419,c60a850f49feb74cd31f00cbea10a6b31d0c74e2eb295d2f2389bff948c73f19,sequence.insert.v1,0,false,COMPLETE,
45,4f9d7dfb5521415f8869eb0353f1a38d997171773a2c1fc5638de2a88796593c,3c082b9ec51d0ed76a5140f0c78e26c86fc066a6af32fd91b05b59ac2078ab9b,buffer.block.v1,0,false,COMPLETE,
46,e2bcac1ea55312ca09df8dc6bc4c0486d16ff161a83bde47f3de40a9df1e1709,7502271a7e34143bd7e82cb5bbe17638559f9be0f2941946fdb0d298cb5c7440,scalar.boundary.v1,0,false,COMPLETE,
47,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,090637d0f9477576c09a4672b85b67b8ca412640c1790ec26f7b27209e0cfbeb,scalar.boundary.v1,3,true,COMPLETE,
48,212c759d5ec075761f728e7f7a4d914bb1923d0d32a3c6b621eda19034eddb64,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,sequence.delete.v1,0,false,COMPLETE,
49,be09cd1c3021dd30ed9ae021499a3558cee31ed8b012d2854ca5333952f18d5c,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,sequence.delete.v1,0,false,COMPLETE,
50,8d8c5069eea521934d0cb57b8ce700066c5c4e3349adb683fa733920a306f747,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,buffer.block.v1,0,false,COMPLETE,
51,0824cfead6cc3ba59cebb86d701aa1a80b48b25d682df7458fb17aa736edd2c2,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,sequence.delete.v1,1,true,COMPLETE,
52,5dd18f448b882cd5669581f1099becd6dd274531e4b737ab92c7c7140e16e329,0824cfead6cc3ba59cebb86d701aa1a80b48b25d682df7458fb17aa736edd2c2,scalar.boundary.v1,1,true,COMPLETE,
53,573fd32da6f9b7061aaab4b387ca6002b9030ff38871dc49a58b6557830cf091,5dd18f448b882cd5669581f1099becd6dd274531e4b737ab92c7c7140e16e329,sequence.delete.v1,0,false,COMPLETE,
54,fa8b13b2401bcd7d17085ec8d916e32abe3a19bef0e5accd5c081a39fba3a64b,0824cfead6cc3ba59cebb86d701aa1a80b48b25d682df7458fb17aa736edd2c2,sequence.delete.v1,0,false,COMPLETE,
55,f9d76156c7556a0c4db0d450bbbdce1271e5bf5b36bf45b182ee9791ed8f7219,5dd18f448b882cd5669581f1099becd6dd274531e4b737ab92c7c7140e16e329,scalar.boundary.v1,0,false,COMPLETE,
56,2eb3e4b71767c1ee021f52a8f2f69e4227585d2a76d1531082d8d375cc5daaab,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,sequence.insert.v1,0,false,COMPLETE,
57,17528a1cee4ba60a0e520987cbc711a84a8b5773f13b3c93b4eee948dd3978dd,9f14900f40cc291e89ccc3dc0df20ba5bb36bfad381d2ae8209bcde5a812a34d,sequence.insert.v1,0,false,COMPLETE,
58,29c69050a1974e1f38a187e06a742fd5f9839c1c4352df5f0138770607f1492f,f40423dbb3d415a36a5cdbbc4c1ca94daa793820dcb303084cd7bd57560eaa5c,buffer.block.v1,0,false,COMPLETE,
59,6e0b7591a8e5b0234c9ad8686c3cb9380ff10bfd53057b4e340eb099b77a5eb3,8ecbb6bae2c6461e1db625cc388bcba1714f2cc25381c3b6fc79bb6700bf6bd9,sequence.delete.v1,0,false,COMPLETE,
60,4ea7373adf014f0f4f5a9e67040a86bc6a5afc673460ffe545ebe5e23586f9c6,d3c131ea8ebf2861caf01abd33e8967b7afe166db936fe5ee57f8ebcd23494c7,sequence.delete.v1,0,false,COMPLETE,
61,aa0e8ad357f2d2f19914f9843a627d328cd1bdb9382d62bfdaecbe6d6e3ce518,75e81a7704b7b3081de69b62865a01bff792f6dd4a9f7ce8f6e95234fda78f0f,sequence.insert.v1,0,false,COMPLETE,
62,92b66939d1bc39942e2d5d8602e211c60dc8ce9580cd9a3969d1c8302c03e771,3f7102330ab8e25493449a38fe2fe00e02f39fed13103e3ea769c138fd3d25f5,sequence.insert.v1,0,false,COMPLETE,
63,69371bdf9efc67d1219cf529bb3090643ff5259661bd6cd9a670bdacf1bca69e,18e1be2d985316a623355afa5a9a8854d8b9361ec07eb878a51aeac302a0148a,buffer.block.v1,0,false,COMPLETE,
64,058e531eea0e400e1db2948f8a26f3ddcd495b9861e39a0fbf7277731e92e3df,c60a850f49feb74cd31f00cbea10a6b31d0c74e2eb295d2f2389bff948c73f19,buffer.block.v1,0,false,COMPLETE,
65,77fe48c4d736643383ab081160d72127dc92d9473314b31a292d0be4b0253319,0824cfead6cc3ba59cebb86d701aa1a80b48b25d682df7458fb17aa736edd2c2,sequence.delete.v1,0,false,COMPLETE,
66,9f529e9d0d5016942d420733e77c7748848d7895d17132bc3bb73f9be85c1500,5dd18f448b882cd5669581f1099becd6dd274531e4b737ab92c7c7140e16e329,sequence.swap-adjacent.v1,0,false,COMPLETE,
67,ec0d2e28e575a9f63663d1d7da18a9b82771366bd37ea48a73ea2568d7470bb6,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,sequence.swap-adjacent.v1,0,false,COMPLETE,
68,0cc959da802e01def149dee0d28371727b228124892f036508c159bf794b4c4e,3f7102330ab8e25493449a38fe2fe00e02f39fed13103e3ea769c138fd3d25f5,sequence.delete.v1,0,false,COMPLETE,
69,97d9d0fbdbcd4dd670ae65e474ca873d9d5e3cb8dd1443b24f6c25d0b65d3f7e,ba40288cb54566b2f449e6c0527562c9c05de066e0e2d4c945fd1466f7ac4543,sequence.insert.v1,1,true,COMPLETE,
70,11f782df055fc26e1376cde0c955a18fd836276956c6a05f4f97f493fba5ca8d,97d9d0fbdbcd4dd670ae65e474ca873d9d5e3cb8dd1443b24f6c25d0b65d3f7e,scalar.boundary.v1,3,true,COMPLETE,
71,3a60b269665f020045e7a16ecff7dcdb54152ce636e60d05c4a16a0af827d4e6,11f782df055fc26e1376cde0c955a18fd836276956c6a05f4f97f493fba5ca8d,buffer.block.v1,0,false,COMPLETE,
72,569ae47e562ebc0f8e5f6385a80d5d53065c1ce0ea3251d81499f11fd8cebbc2,11f782df055fc26e1376cde0c955a18fd836276956c6a05f4f97f493fba5ca8d,scalar.boundary.v1,3,true,COMPLETE,
73,e456b0d94bf8094630da6e76d17278cfb958bd7ccf8a548f34ce89eee377228d,569ae47e562ebc0f8e5f6385a80d5d53065c1ce0ea3251d81499f11fd8cebbc2,buffer.block.v1,0,false,COMPLETE,
74,54de2b13303a45cf615bd8a943e34fb1a3a8cebcff3fdd9f61e1d03fd3dce4a5,569ae47e562ebc0f8e5f6385a80d5d53065c1ce0ea3251d81499f11fd8cebbc2,sequence.delete.v1,0,false,COMPLETE,
75,70ab6a463bc945674034c1322c838f932e8b8e24b77f2d6aed0aa674792a2147,11f782df055fc26e1376cde0c955a18fd836276956c6a05f4f97f493fba5ca8d,sequence.insert.v1,0,false,COMPLETE,
76,6bcef927a163c85af2c9c29b460f174006a3a5abc2a57c9d0c0a3b7e4d455baf,569ae47e562ebc0f8e5f6385a80d5d53065c1ce0ea3251d81499f11fd8cebbc2,sequence.delete.v1,0,false,COMPLETE,
77,45011e9f70901cbe25382b5a819f8e35650e0a59ae3999a39cbbd044803e992f,11f782df055fc26e1376cde0c955a18fd836276956c6a05f4f97f493fba5ca8d,scalar.boundary.v1,1,true,COMPLETE,
78,2d6f1b5fb0c77b53298079e0c544b63476ba13df7a43387e86dbaa18add22b83,45011e9f70901cbe25382b5a819f8e35650e0a59ae3999a39cbbd044803e992f,sequence.delete.v1,0,false,COMPLETE,
79,1da4e2a56230db066415e989acf995cd9af21c05f0e053b9fde1d8d1131fd3aa,569ae47e562ebc0f8e5f6385a80d5d53065c1ce0ea3251d81499f11fd8cebbc2,sequence.delete.v1,0,false,COMPLETE,
80,a219d7ea2aff757a9b751bdea541a1806ab4f31cc29918fd310b08bf632d78c7,97d9d0fbdbcd4dd670ae65e474ca873d9d5e3cb8dd1443b24f6c25d0b65d3f7e,buffer.block.v1,0,false,COMPLETE,
81,1db3c0fedefb58a3ec20a4a0bb0266aa9fac4275d9207bb4326efa4801dbc3c1,45011e9f70901cbe25382b5a819f8e35650e0a59ae3999a39cbbd044803e992f,sequence.swap-adjacent.v1,0,false,COMPLETE,
82,63e5fef87132e88d25b50f61981e3b5a852ed7c2dd26bc293e0ee9aad15905ca,11f782df055fc26e1376cde0c955a18fd836276956c6a05f4f97f493fba5ca8d,sequence.insert.v1,0,false,COMPLETE,
83,ee3b2ef2663ee4cd13a38df3b31f04fdc2a074478949e74b702e6965c924d299,569ae47e562ebc0f8e5f6385a80d5d53065c1ce0ea3251d81499f11fd8cebbc2,scalar.boundary.v1,3,true,COMPLETE,
84,28bd742659f05b530702143cbe6eb4fb1cc99a7175f96abd64329ff9acb4a272,ee3b2ef2663ee4cd13a38df3b31f04fdc2a074478949e74b702e6965c924d299,scalar.boundary.v1,0,false,COMPLETE,
85,88fefdc3ddcf05285d5f43b935491a30b776a0d3d5edd5839105d8a7f7353a4e,ee3b2ef2663ee4cd13a38df3b31f04fdc2a074478949e74b702e6965c924d299,scalar.boundary.v1,0,false,COMPLETE,
86,51abf175eec0de4dde5908bfad6b34b2362171ce041027fb775fd970fe1d51c3,ee3b2ef2663ee4cd13a38df3b31f04fdc2a074478949e74b702e6965c924d299,sequence.insert.v1,0,false,COMPLETE,
87,19e4e81b28e5ef1c7d4df6dffddf53fc11da5d45c1b9da9e177c7723a5a6479e,ee3b2ef2663ee4cd13a38df3b31f04fdc2a074478949e74b702e6965c924d299,sequence.delete.v1,1,true,COMPLETE,
88,e42b0c2d7b8c451bb584e5ad7aa094018b32b8985e6ea9bef719d22b04b37d5d,19e4e81b28e5ef1c7d4df6dffddf53fc11da5d45c1b9da9e177c7723a5a6479e,buffer.block.v1,0,false,COMPLETE,
89,7ffce1c242e4e8bacee1a2f9d55b3f14cea15fcc9165aee807e79d66e4bf056a,19e4e81b28e5ef1c7d4df6dffddf53fc11da5d45c1b9da9e177c7723a5a6479e,sequence.delete.v1,0,false,COMPLETE,
90,7530022b80d48e7546c6e04ce6f0cac994c5e74915858cf154c88ef1dc23baef,ee3b2ef2663ee4cd13a38df3b31f04fdc2a074478949e74b702e6965c924d299,sequence.insert.v1,0,false,COMPLETE,
